original_url,action,new_url,source_ids,note
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNDE4MQ%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNDE4MQ%3D%3D,cmpj0ylid0fcjplb9oh0jf3eq,404: 404 Not Found
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNDE4Mw%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNDE4Mw%3D%3D,cmpj0ylnv0fcpplb9ndfodg68,404: 404 Not Found
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNDE4NQ%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNDE4NQ%3D%3D,cmpj0ylt20fcvplb9936zpdog,404: 404 Not Found
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNDE4OQ%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNDE4OQ%3D%3D,cmpj0ym940fddplb9l7o5r4qt,404: 404 Not Found
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNDE4Nw%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNDE4Nw%3D%3D,cmpj0yly90fd1plb99k2ewak5,404: 404 Not Found
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNDE4OA%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNDE4OA%3D%3D,cmpj0ym3j0fd7plb9n5dftr2z,404: 404 Not Found
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNDE5MA%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNDE5MA%3D%3D,cmpj0ymeu0fdjplb9qerzds7y,404: 404 Not Found
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNDE5OA%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNDE5OA%3D%3D,cmpj0yn2v0fe7plb98x01wbht,404: 404 Not Found
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNDE5OQ%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNDE5OQ%3D%3D,cmpj0yn8z0fedplb9ohl2hdiu,404: 404 Not Found
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNDE5MQ%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNDE5MQ%3D%3D,cmpj0yml50fdpplb9jctzukl2,404: 404 Not Found
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNDE5NA%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNDE5NA%3D%3D,cmpj0ymqw0fdvplb9b495jbyk,404: 404 Not Found
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNDE5Nw%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNDE5Nw%3D%3D,cmpj0ymwn0fe1plb9a47xmy8e,404: 404 Not Found
https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNDIwMA%3D%3D,no_fix,https://aa.archives.gov.tw/ELK/SearchDetailed?SystemID=MDAwMDAyNDIwMA%3D%3D,cmpj0yng30fejplb9mbfc26hd,404: 404 Not Found
